mesocosm,temp_treat,fish_treat,pH,speccond,pchla,er,gpp,npp,nox,po4,nh4,clad,cop,zoop,propalgae
2,w,c,9.3,0.565,1.36,-4.29,-0.31,3.98,0.00853,0.0039,0.0677,1,0,2.174410273,0.478474577
3,u,h,9,0.637,1.18,-3.07,-0.03,3.04,0.00855,0.00244,0.0279,8,4,15.82248343,0.274744478
4,w,h,9.2,0.557,1.94,-2.98,-0.26,2.72,0.00846,0.00692,0.0352,7,0,4.661410096,0.658200182
6,u,c,8.8,0.69,1.32,-2.6,0.13,2.73,0.0101,0.00645,0.0352,62,10,277.2920647,0
7,w,c,9.1,0.636,1.97,-3.49,-0.21,3.28,0.00853,0.00662,0.0311,4,16,62.73161292,0.129657711
9,u,c,9.1,0.563,1.38,-3.72,-0.43,3.29,0.00933,0.00135,0.0387,11,12,49.49001793,0.488363907
11,w,h,9.2,0.552,1.11,-3.8,-0.59,3.21,0.00894,0.0013,0.0439,0,1,2.252571448,0.418247337
12,u,h,9.1,0.541,1.39,-3.81,-0.65,3.16,0.00868,0.00161,0.0378,15,4,15.18179189,0.303977161
13,u,c,9.1,0.534,1.76,-3.1,-0.07,3.03,0.00874,0.00342,-0.00646,2,2,6.556654433,0.457706692
14,w,h,9.2,0.565,2.12,-4.03,-0.26,3.77,0.0103,0.00405,-0.0105,3,0,3.007384113,0.362088308
16,w,c,9.1,0.561,2.68,-2.62,-0.42,2.2,0.00858,0.00423,0.0248,0,1,4.654420885,0.560434445
17,u,h,9,0.563,1.91,-3.28,-0.19,3.09,0.00871,0.00147,0.034,14,8,30.96141701,0.115460268
19,w,h,9.3,0.545,1.4,-4.69,-0.63,4.06,0.00784,0.00112,-0.01,3,0,3.655187656,0.471379132
20,u,c,9.2,0.528,1.04,-3.98,-0.18,3.8,0.00939,0.00136,0.0516,3,11,24.43879081,0.448320623
22,u,h,9.2,0.505,1.47,-3.32,-0.42,2.9,0.00926,0.00238,0.0178,3,4,16.19522499,0.49763316
24,w,c,9.2,0.56,1.08,-3.29,-0.43,2.86,0.0125,0.00299,-0.00791,5,7,22.4017631,0.545370258
25,u,h,9.1,0.637,5.11,-3.62,-0.16,3.46,0.00858,0.00426,0.0245,11,4,17.12928455,0
27,w,c,9.2,0.577,2.65,-3.19,-0.3,2.89,0.0105,0.006,0.03,1,1,2.886844904,0.382679765
29,u,c,9.2,0.528,0.9,-3.55,-0.47,3.08,0.00974,0.00136,0.0162,1,5,21.03758937,0.476316848
30,w,h,9.1,0.591,2.27,-3.56,-0.19,3.37,0.0108,0.00197,0.0524,7,1,6.213836913,0.22430171
32,u,h,9.2,0.533,1.21,-4.16,-0.35,3.81,0.00841,0.00143,0.0239,3,5,11.01135251,0.449434623
33,w,h,9.2,0.564,2.1,-3.58,-0.37,3.21,0.0103,0.00241,0.0295,1,0,1.366699408,0.534057569
34,u,c,9,0.623,1.36,-4.23,0,4.23,0.00911,0.00257,0.0337,0,2,9.565944975,0.088818302
35,w,c,9,0.587,2.2,-3.54,-0.46,3.08,0.0095,0.00226,0.0306,1,11,46.60764596,0.383264506
